"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"2077","KEGG","hsa05010",29,355,9606,"9606.ENSP00000162749,9606.ENSP00000203407,9606.ENSP00000229239,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263341,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000301072,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000327251,9606.ENSP00000327268,9606.ENSP00000339001,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000375892,9606.ENSP00000380044,9606.ENSP00000381736,9606.ENSP00000385675,9606.ENSP00000392709,9606.ENSP00000398698,9606.ENSP00000399403,9606.ENSP00000451828,9606.ENSP00000467262","TNFRSF1A,UQCRC1,GAPDH,NDUFA10,ATP5B,IL1B,NDUFS3,UQCRC2,TUBA1C,ATP5H,NDUFV1,NOS2,NDUFV2,TUBB,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,AKT2,CSNK1E,ATP5A1,IL6,NDUFS1,TNF,KLC2,AKT1,UQCR11",1.25e-12,3.81e-11,"Alzheimer disease"
"2078","KEGG","hsa05012",23,240,9606,"9606.ENSP00000203407,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000298910,9606.ENSP00000301072,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000324173,9606.ENSP00000327268,9606.ENSP00000339001,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000380252,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000399403,9606.ENSP00000467262","UQCRC1,NDUFA10,ATP5B,NDUFS3,UQCRC2,LRRK2,TUBA1C,ATP5H,NDUFV1,HSPA5,NDUFV2,TUBB,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,NFE2L2,ATP5A1,NDUFS1,KLC2,UQCR11",1.53e-11,4.28e-10,"Parkinson disease"
"2079","KEGG","hsa05144",12,46,9606,"9606.ENSP00000221930,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000263686,9606.ENSP00000294728,9606.ENSP00000303231,9606.ENSP00000306512,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","TGFB1,CSF3,CCL2,IFNG,IL1B,SELP,VCAM1,IL12A,CXCL8,IL6,TNF,IL10",5.63e-11,1.45e-09,"Malaria"
"2080","KEGG","hsa00190",17,130,9606,"9606.ENSP00000203407,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000467262","UQCRC1,NDUFA10,ATP5B,NDUFS3,UQCRC2,ATP5H,NDUFV1,NDUFV2,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,ATP5A1,NDUFS1,UQCR11",9.5e-11,2.28e-09,"Oxidative phosphorylation"
"2081","KEGG","hsa04668",16,112,9606,"9606.ENSP00000162749,9606.ENSP00000225831,9606.ENSP00000263341,9606.ENSP00000286186,9606.ENSP00000294728,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000305651,9606.ENSP00000361405,9606.ENSP00000365435,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207,9606.ENSP00000474412","TNFRSF1A,CCL2,IL1B,CASP10,VCAM1,CXCL5,IL15,CXCL10,MMP9,TNFRSF1B,AKT2,IL6,TNF,AKT1,TRAF3,CCL5",1.05e-10,2.28e-09,"TNF signaling pathway"
"2082","KEGG","hsa05418",17,130,9606,"9606.ENSP00000162749,9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000294728,9606.ENSP00000299767,9606.ENSP00000330382,9606.ENSP00000335153,9606.ENSP00000360002,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000381607,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,HMOX1,MMP2,CCL2,IFNG,IL1B,VCAM1,HSP90B1,PDGFB,HSP90AA1,GSTA4,MMP9,AKT2,NFE2L2,GSTP1,TNF,AKT1",9.5e-11,2.28e-09,"Fluid shear stress and atherosclerosis"
"2083","KEGG","hsa04630",18,160,9606,"9606.ENSP00000225474,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000296545,9606.ENSP00000302150,9606.ENSP00000303231,9606.ENSP00000304915,9606.ENSP00000312652,9606.ENSP00000330382,9606.ENSP00000330393,9606.ENSP00000375795,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000451828,9606.ENSP00000468500","CSF3,IL2,IFNG,IL12B,IL4,IL15,PRL,IL12A,IL13,LEP,PDGFB,LEPR,IL24,AKT2,IL6,IL10,AKT1,GFAP",2.49e-10,4.91e-09,"JAK-STAT signaling pathway"
"2084","KEGG","hsa05200",31,517,9606,"9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000233146,9606.ENSP00000287820,9606.ENSP00000296545,9606.ENSP00000299767,9606.ENSP00000303231,9606.ENSP00000304915,9606.ENSP00000306512,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000327251,9606.ENSP00000330382,9606.ENSP00000335153,9606.ENSP00000353654,9606.ENSP00000355518,9606.ENSP00000356694,9606.ENSP00000360002,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000381607,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000451828,9606.ENSP00000454207","HMOX1,MMP2,TGFB1,IL2,IFNG,IL12B,IL4,MSH2,PPARG,IL15,HSP90B1,IL12A,IL13,CXCL8,F2,MMP1,NOS2,PDGFB,HSP90AA1,COL4A2,FH,FASLG,GSTA4,MMP9,AKT2,NFE2L2,GSTP1,IL6,CXCR4,AKT1,TRAF3",3.26e-10,6.09e-09,"Pathways in cancer"
"2085","KEGG","hsa05164",18,165,9606,"9606.ENSP00000162749,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000241261,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000303231,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000308938,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207,9606.ENSP00000474412","TNFRSF1A,CCL2,IFNG,IL12B,TNFSF10,IL1B,TNFRSF10B,IL12A,CXCL10,CXCL8,PLG,FASLG,AKT2,IL6,TNF,AKT1,TRAF3,CCL5",3.92e-10,6.94e-09,"Influenza A"
"2086","KEGG","hsa05321",12,60,9606,"9606.ENSP00000221930,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000304915,9606.ENSP00000344192,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","TGFB1,IL2,IFNG,IL12B,IL4,IL1B,IL12A,IL13,IL17A,IL6,TNF,IL10",8.03e-10,1.35e-08,"Inflammatory bowel disease"
"2087","KEGG","hsa05143",10,36,9606,"9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000236850,9606.ENSP00000263341,9606.ENSP00000294728,9606.ENSP00000303231,9606.ENSP00000356694,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","IFNG,IL12B,APOA1,IL1B,VCAM1,IL12A,FASLG,IL6,TNF,IL10",1.38e-09,2.21e-08,"African trypanosomiasis"
"2088","KEGG","hsa04714",20,229,9606,"9606.ENSP00000203407,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000268379,9606.ENSP00000287820,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000365651,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000467262","UQCRC1,NDUFA10,ATP5B,NDUFS3,PPARGC1A,UQCRC2,PPARG,ATP5H,NDUFV1,NDUFV2,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,NPPB,ATP5A1,NDUFS1,UQCR11",1.51e-09,2.3e-08,"Thermogenesis"
"2089","KEGG","hsa04620",14,101,9606,"9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000354901,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207,9606.ENSP00000474412,9606.ENSP00000477908,9606.ENSP00000482259","IL12B,IL1B,IL12A,CXCL10,CXCL8,CXCL9,AKT2,IL6,TNF,AKT1,TRAF3,CCL5,CCL3,CCL4",2.24e-09,3.28e-08,"Toll-like receptor signaling pathway"
"2090","KEGG","hsa05323",13,85,9606,"9606.ENSP00000221930,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000306512,9606.ENSP00000322788,9606.ENSP00000344192,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000474412,9606.ENSP00000477908","TGFB1,CCL2,IFNG,IL1B,CXCL5,IL15,CXCL8,MMP1,IL17A,IL6,TNF,CCL5,CCL3",2.91e-09,4.07e-08,"Rheumatoid arthritis"
"2091","KEGG","hsa05152",17,168,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000236671,9606.ENSP00000263341,9606.ENSP00000286186,9606.ENSP00000297185,9606.ENSP00000303231,9606.ENSP00000317955,9606.ENSP00000327251,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000447173,9606.ENSP00000451828","TNFRSF1A,TGFB1,IFNG,IL12B,CTSD,IL1B,CASP10,HSPA9,IL12A,EEA1,NOS2,AKT2,IL6,TNF,IL10,VDR,AKT1",3.46e-09,4.65e-08,"Tuberculosis"
"2092","KEGG","hsa04260",13,87,9606,"9606.ENSP00000203407,9606.ENSP00000228841,9606.ENSP00000236918,9606.ENSP00000268379,9606.ENSP00000290378,9606.ENSP00000341838,9606.ENSP00000347055,9606.ENSP00000347507,9606.ENSP00000351022,9606.ENSP00000354554,9606.ENSP00000354982,9606.ENSP00000379210,9606.ENSP00000467262","UQCRC1,MYL2,TNNT2,UQCRC2,ACTC1,TNNI3,MYL4,MYH7,TPM1,MT-CYB,MT-CO3,MYL3,UQCR11",3.74e-09,4.84e-08,"Cardiac muscle contraction"
"2093","KEGG","hsa04066",14,106,9606,"9606.ENSP00000216117,9606.ENSP00000223095,9606.ENSP00000226253,9606.ENSP00000229135,9606.ENSP00000229239,9606.ENSP00000234590,9606.ENSP00000269848,9606.ENSP00000324105,9606.ENSP00000327251,9606.ENSP00000375892,9606.ENSP00000378669,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000451828","HMOX1,SERPINE1,ALDOC,IFNG,GAPDH,ENO1,PFKL,ENO3,NOS2,AKT2,ALDOA,IL6,TF,AKT1",3.94e-09,4.91e-08,"HIF-1 signaling pathway"
"2094","KEGG","hsa01230",12,73,9606,"9606.ENSP00000226253,9606.ENSP00000229239,9606.ENSP00000234590,9606.ENSP00000269848,9606.ENSP00000297283,9606.ENSP00000299518,9606.ENSP00000320171,9606.ENSP00000324105,9606.ENSP00000331897,9606.ENSP00000359539,9606.ENSP00000359991,9606.ENSP00000378669","ALDOC,GAPDH,ENO1,PFKL,PGAM2,IDH3A,PKM,ENO3,IDH2,GOT1,PGAM1,ALDOA",5.77e-09,6.92e-08,"Biosynthesis of amino acids"
"2095","KEGG","hsa04933",13,98,9606,"9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000223095,9606.ENSP00000225831,9606.ENSP00000239938,9606.ENSP00000263341,9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000353654,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828","MMP2,TGFB1,SERPINE1,CCL2,EGR1,IL1B,VCAM1,CXCL8,COL4A2,AKT2,IL6,TNF,AKT1",1.36e-08,1.58e-07,"AGE-RAGE signaling pathway in diabetic complications"
"2096","KEGG","hsa05146",13,100,9606,"9606.ENSP00000211998,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000248553,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000306512,9606.ENSP00000327251,9606.ENSP00000353654,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","VCL,TGFB1,IFNG,IL12B,HSPB1,IL1B,IL12A,CXCL8,NOS2,COL4A2,IL6,TNF,IL10",1.7e-08,1.9e-07,"Amoebiasis"
"2097","KEGG","hsa04610",12,82,9606,"9606.ENSP00000223095,9606.ENSP00000264870,9606.ENSP00000306361,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000315130,9606.ENSP00000336829,9606.ENSP00000356037,9606.ENSP00000356382,9606.ENSP00000356671,9606.ENSP00000416561,9606.ENSP00000438615","SERPINE1,F13A1,FGA,F2,PLG,CLU,FGG,C4BPA,F13B,SERPINC1,CFB,C1R",1.85e-08,2.01e-07,"Complement and coagulation cascades"
"2098","KEGG","hsa00010",11,65,9606,"9606.ENSP00000205402,9606.ENSP00000226253,9606.ENSP00000229239,9606.ENSP00000234590,9606.ENSP00000269848,9606.ENSP00000297283,9606.ENSP00000320171,9606.ENSP00000324105,9606.ENSP00000359991,9606.ENSP00000378669,9606.ENSP00000405573","DLD,ALDOC,GAPDH,ENO1,PFKL,PGAM2,PKM,ENO3,PGAM1,ALDOA,GPI",1.92e-08,2.02e-07,"Glycolysis / Gluconeogenesis"
"2099","KEGG","hsa05150",12,86,9606,"9606.ENSP00000167586,9606.ENSP00000246662,9606.ENSP00000254043,9606.ENSP00000263686,9606.ENSP00000269576,9606.ENSP00000301653,9606.ENSP00000308938,9606.ENSP00000310573,9606.ENSP00000336829,9606.ENSP00000412237,9606.ENSP00000416561,9606.ENSP00000438615","KRT14,KRT9,KRT15,SELP,KRT10,KRT16,PLG,KRT25,FGG,IL10,CFB,C1R",2.99e-08,3.04e-07,"Staphylococcus aureus infection"
"2100","KEGG","hsa04915",14,133,9606,"9606.ENSP00000167586,9606.ENSP00000219070,9606.ENSP00000236671,9606.ENSP00000246662,9606.ENSP00000254043,9606.ENSP00000269576,9606.ENSP00000299767,9606.ENSP00000301653,9606.ENSP00000310573,9606.ENSP00000335153,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000432083,9606.ENSP00000451828","KRT14,MMP2,CTSD,KRT9,KRT15,KRT10,HSP90B1,KRT16,KRT25,HSP90AA1,MMP9,AKT2,HSPA8,AKT1",5.44e-08,5.38e-07,"Estrogen signaling pathway"
"2101","KEGG","hsa05133",11,74,9606,"9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000296027,9606.ENSP00000303231,9606.ENSP00000306512,9606.ENSP00000327251,9606.ENSP00000356037,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000438615","IL12B,IL1B,CXCL5,IL12A,CXCL8,NOS2,C4BPA,IL6,TNF,IL10,C1R",6.35e-08,6.09e-07,"Pertussis"
